,Planet Name,Number of Stars,Number of Planets,Discovery Year,Controversial Flag,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au],Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Planet Radius [Earth Radius],Planet Radius Upper Unc. [Earth Radius],Planet Radius Lower Unc. [Earth Radius],Planet Radius Limit Flag,Planet Radius [Jupiter Radius],Planet Radius Upper Unc. [Jupiter Radius],Planet Radius Lower Unc. [Jupiter Radius],Planet Radius Limit Flag,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Mass or Mass*sin(i) [Jupiter Mass],Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,Planet Mass or Mass*sin(i) Provenance,Eccentricity,Eccentricity Upper Unc.,Eccentricity Lower Unc.,Eccentricity Limit Flag,Insolation Flux [Earth Flux],Insolation Flux Upper Unc. [Earth Flux],Insolation Flux Lower Unc. [Earth Flux],Insolation Flux Limit Flag,Equilibrium Temperature [K],Equilibrium Temperature Upper Unc. [K],Equilibrium Temperature Lower Unc. [K],Equilibrium Temperature Limit Flag,Data show Transit Timing Variations,Stellar Effective Temperature [K],Stellar Effective Temperature Upper Unc. [K],Stellar Effective Temperature Lower Unc. [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Upper Unc. [Solar Radius],Stellar Radius Lower Unc. [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Metallicity Limit Flag,Stellar Metallicity Ratio,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,RA [deg],Dec [deg],Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc
2919,Kepler-173 c,1,2,2014,0,8.005777,1.5e-05,-1.5e-05,0.0,0.074,0.003,-0.003,0.0,2.43,1.21,-1.21,0.0,0.217,0.108,-0.108,0.0,6.48,20.65895,-19.443815,0.0,0.0204,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,258.42,12.49,-11.86,0.0,956.0,21.0,-21.0,0.0,0,6031.0,200.0,-200.0,0.0,0.95,0.47,-0.47,0.0,0.79,0.09,-0.05,0.0,0.036,0.014,-0.014,0.0,2.0,4.4,0.3,-0.3,0.0,294.6466171,41.8840952,833.165,14.828,-14.828,14.357,0.172,-0.172,12.668,0.034,-0.034,14.2578,0.000471,-0.000471
2920,Kepler-1730 b,1,1,2021,0,13.81019974,0.0001,-0.0001,0.0,0.1131,0.003,-0.003,0.0,4.485,0.28,-0.22,0.0,0.4,0.025,-0.02,0.0,18.4,20.65895,-19.443815,0.0,0.0577,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,113.75,99.51,-49.06,0.0,833.0,21.0,-21.0,0.0,0,5942.0,176.0,-193.0,0.0,1.14,0.33,-0.22,0.0,1.01,0.15,-0.12,0.0,-0.04,0.25,-0.3,0.0,1.0,4.33,0.14,-0.19,0.0,281.9605834,43.7030386,1427.08,61.5,-56.72,15.478,0.172,-0.172,13.849,0.046,-0.046,15.3758,0.000371,-0.000371
2921,Kepler-1731 b,1,1,2021,0,21.76129913,0.0001,-0.0001,0.0,0.1401,0.003,-0.003,0.0,2.933,0.28,-0.22,0.0,0.262,0.025,-0.02,0.0,8.92,20.65895,-19.443815,0.0,0.0281,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,13.18,3.0,-1.98,0.0,486.0,21.0,-21.0,0.0,0,4859.0,97.0,-97.0,0.0,0.72,0.05,-0.03,0.0,0.78,0.03,-0.05,0.0,0.0,0.15,-0.15,0.0,1.0,4.61,0.02,-0.05,0.0,291.2544229,36.7434302,169.948,0.641,-0.636,12.742,0.092,-0.092,10.41,0.017,-0.017,12.4974,0.000399,-0.000399
2922,Kepler-1732 b,1,1,2021,0,32.31240082,0.0001,-0.0001,0.0,0.2015,0.003,-0.003,0.0,4.099,0.28,-0.22,0.0,0.366,0.025,-0.02,0.0,15.7,20.65895,-19.443815,0.0,0.0496,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,27.05,34.37,-7.51,0.0,699.0,21.0,-21.0,0.0,0,5821.0,79.0,-79.0,0.0,1.49,0.24,-0.33,0.0,1.04,0.11,-0.08,0.0,0.04,0.15,-0.15,0.0,1.0,4.11,0.18,-0.1,0.0,292.2910129,37.5807686,1289.41,41.95,-41.95,14.884,0.092,-0.092,13.205,0.038,-0.038,14.7163,0.000349,-0.000349
2923,Kepler-1733 b,1,1,2021,0,9.22957993,0.0001,-0.0001,0.0,0.0933,0.003,-0.003,0.0,3.636,0.28,-0.22,0.0,0.324,0.025,-0.02,0.0,12.8,20.65895,-19.443815,0.0,0.0404,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,257.11,111.43,-45.91,0.0,1021.0,21.0,-21.0,0.0,0,6320.0,75.0,-88.0,0.0,1.25,0.21,-0.09,0.0,1.27,0.08,-0.09,0.0,0.24,0.15,-0.2,0.0,1.0,4.35,0.03,-0.12,0.0,291.1384628,37.8592447,2080.51,135.38,-135.38,15.612,0.16,-0.16,13.981,0.049,-0.049,15.357,0.000426,-0.000426
2924,Kepler-1734 b,1,1,2021,0,6.7968502,0.0001,-0.0001,0.0,0.0714,0.003,-0.003,0.0,3.089,0.28,-0.22,0.0,0.276,0.025,-0.02,0.0,9.74,20.65895,-19.443815,0.0,0.0306,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,222.91,206.66,-65.9,0.0,985.0,21.0,-21.0,0.0,0,6061.0,180.0,-198.0,0.0,0.97,0.3,-0.1,0.0,1.05,0.14,-0.14,0.0,-0.1,0.25,-0.3,0.0,1.0,4.49,0.05,-0.2,0.0,294.163167,41.4517316,1482.83,54.585,-54.585,15.598,0.149,-0.149,13.884,0.053,-0.053,15.3171,0.000363,-0.000363
2925,Kepler-1735 b,1,1,2021,0,7.71792984,0.0001,-0.0001,0.0,0.0621,0.003,-0.003,0.0,1.194,0.28,-0.22,0.0,0.107,0.025,-0.02,0.0,1.84,20.65895,-19.443815,0.0,0.00578,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,15.01,3.53,-3.2,0.0,502.0,21.0,-21.0,0.0,0,3975.0,71.0,-87.0,0.0,0.51,0.04,-0.04,0.0,0.54,0.03,-0.04,0.0,-0.34,0.15,-0.15,0.0,1.0,4.75,0.03,-0.04,0.0,281.0503476,47.1882005,245.303,1.508,-1.508,15.896,0.103,-0.103,12.247,0.013,-0.013,15.2237,0.000521,-0.000521
2926,Kepler-1736 b,1,1,2021,0,37.81029892,0.0001,-0.0001,0.0,0.2188,0.003,-0.003,0.0,3.877,0.28,-0.22,0.0,0.346,0.025,-0.02,0.0,14.3,20.65895,-19.443815,0.0,0.0451,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,24.27,22.61,-7.99,0.0,566.0,21.0,-21.0,0.0,0,6085.0,182.0,-200.0,0.0,0.97,0.3,-0.12,0.0,0.98,0.13,-0.12,0.0,-0.28,0.3,-0.3,0.0,1.0,4.45,0.08,-0.2,0.0,289.7766991,38.2622374,1430.0,51.57,-51.57,14.808,0.183,-0.183,13.073,0.051,-0.051,14.6161,0.000336,-0.000336
2927,Kepler-1737 b,1,1,2021,0,64.61750031,0.0001,-0.0001,0.0,0.297,0.003,-0.003,0.0,5.395,0.28,-0.22,0.0,0.481,0.025,-0.02,0.0,25.1,20.65895,-19.443815,0.0,0.079,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,5.09,1.94,-1.53,0.0,383.0,21.0,-21.0,0.0,0,5043.0,164.0,-149.0,0.0,0.88,0.09,-0.1,0.0,0.83,0.07,-0.06,0.0,0.3,0.15,-0.3,0.0,1.0,4.47,0.1,-0.1,0.0,297.0148111,47.486417,417.014,4.888,-4.824,15.498,0.137,-0.137,13.18,0.03,-0.03,15.3741,0.003521,-0.003521
2928,Kepler-1738 b,1,1,2021,0,7.67463016,0.0001,-0.0001,0.0,0.0781,0.003,-0.003,0.0,2.825,0.28,-0.22,0.0,0.252,0.025,-0.02,0.0,8.37,20.65895,-19.443815,0.0,0.0263,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,198.67,191.59,-62.8,0.0,957.0,21.0,-21.0,0.0,0,6063.0,190.0,-232.0,0.0,1.0,0.32,-0.11,0.0,1.08,0.15,-0.15,0.0,-0.02,0.25,-0.3,0.0,1.0,4.47,0.05,-0.22,0.0,296.1313474,47.4388098,1302.87,44.92,-42.08,15.649,0.217,-0.217,13.851,0.048,-0.048,15.4178,0.000389,-0.000389
2929,Kepler-1739 b,1,1,2021,0,7.34370995,0.0001,-0.0001,0.0,0.0697,0.003,-0.003,0.0,2.431,0.28,-0.22,0.0,0.217,0.025,-0.02,0.0,6.48,20.65895,-19.443815,0.0,0.0204,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,117.5,77.15,-27.07,0.0,839.0,21.0,-21.0,0.0,0,5757.0,155.0,-155.0,0.0,0.76,0.17,-0.06,0.0,0.86,0.09,-0.1,0.0,-0.5,0.35,-0.25,0.0,1.0,4.6,0.04,-0.14,0.0,296.2320536,47.6788626,783.666,13.854,-13.388,14.899,0.16,-0.16,13.024,0.028,-0.028,14.6422,0.000294,-0.000294
2930,Kepler-174 b,1,3,2014,0,13.98179,2.4e-05,-2.4e-05,0.0,0.1,0.003,-0.003,0.0,1.96,0.11,-0.11,0.0,0.175,0.01,-0.01,0.0,4.5,20.65895,-19.443815,0.0,0.0142,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,24.42,0.53,-0.52,0.0,553.0,21.0,-21.0,0.0,0,4880.0,126.0,-126.0,0.0,0.62,0.03,-0.03,0.0,0.6,0.02,-0.02,0.0,-0.44,0.1,-0.1,0.0,2.0,4.68,0.15,-0.15,0.0,287.4389454,43.8320052,384.757,2.684,-2.684,14.53,0.057,-0.057,12.184,0.018,-0.018,14.2858,0.000242,-0.000242
2931,Kepler-174 c,1,3,2014,0,44.000529,0.000265,-0.000265,0.0,0.214,0.003,-0.003,0.0,1.49,0.09,-0.09,0.0,0.133,0.008,-0.008,0.0,2.83,20.65895,-19.443815,0.0,0.00889,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,5.3,0.12,-0.11,0.0,377.0,21.0,-21.0,0.0,0,4880.0,126.0,-126.0,0.0,0.62,0.03,-0.03,0.0,0.6,0.02,-0.02,0.0,-0.44,0.1,-0.1,0.0,2.0,4.68,0.15,-0.15,0.0,287.4389454,43.8320052,384.757,2.684,-2.684,14.53,0.057,-0.057,12.184,0.018,-0.018,14.2858,0.000242,-0.000242
2932,Kepler-174 d,1,3,2014,0,247.35373,0.002001,-0.002001,0.0,0.677,0.003,-0.003,0.0,2.19,0.13,-0.13,0.0,0.195,0.012,-0.012,0.0,5.43,20.65895,-19.443815,0.0,0.0171,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,0.53,0.01,-0.01,0.0,212.0,21.0,-21.0,0.0,0,4880.0,126.0,-126.0,0.0,0.62,0.03,-0.03,0.0,0.6,0.02,-0.02,0.0,-0.44,0.1,-0.1,0.0,2.0,4.68,0.15,-0.15,0.0,287.4389454,43.8320052,384.757,2.684,-2.684,14.53,0.057,-0.057,12.184,0.018,-0.018,14.2858,0.000242,-0.000242
2933,Kepler-1740 b,1,1,2021,0,8.17240047,0.0001,-0.0001,0.0,0.0779,0.003,-0.003,0.0,3.323,0.28,-0.22,0.0,0.296,0.025,-0.02,0.0,11.0,20.65895,-19.443815,0.0,0.0347,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,127.95,45.45,-20.22,0.0,858.0,21.0,-21.0,0.0,0,5705.0,76.0,-76.0,0.0,0.91,0.12,-0.05,0.0,0.94,0.05,-0.06,0.0,-0.06,0.15,-0.15,0.0,1.0,4.5,0.05,-0.11,0.0,293.873663,38.9224548,1061.77,36.685,-36.685,15.454,0.195,-0.195,13.695,0.048,-0.048,15.2863,0.0004,-0.0004
2934,Kepler-1741 b,1,1,2021,0,2.75759006,0.0001,-0.0001,0.0,0.0296,0.003,-0.003,0.0,1.273,0.28,-0.22,0.0,0.114,0.025,-0.02,0.0,2.16,20.65895,-19.443815,0.0,0.00681,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,33.79,10.93,-10.56,0.0,615.0,21.0,-21.0,0.0,0,3683.0,73.0,-88.0,0.0,0.42,0.05,-0.06,0.0,0.45,0.04,-0.06,0.0,-0.22,0.15,-0.15,0.0,1.0,4.84,0.05,-0.06,0.0,292.577073,39.120939,270.739,2.716,-2.716,16.154,0.15,-0.15,12.611,0.023,-0.023,15.6903,0.00065,-0.00065
2935,Kepler-1742 b,1,1,2021,0,49.47819901,0.0001,-0.0001,0.0,0.2587,0.003,-0.003,0.0,2.178,0.28,-0.22,0.0,0.194,0.025,-0.02,0.0,5.38,20.65895,-19.443815,0.0,0.0169,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,10.73,8.53,-2.82,0.0,462.0,21.0,-21.0,0.0,0,5776.0,138.0,-155.0,0.0,0.85,0.24,-0.08,0.0,0.94,0.1,-0.12,0.0,-0.18,0.3,-0.3,0.0,1.0,4.55,0.04,-0.2,0.0,286.9668086,44.9924315,669.573,8.969,-8.739,14.512,0.08,-0.08,12.831,0.028,-0.028,14.3735,0.000216,-0.000216
2936,Kepler-1743 b,1,1,2021,0,7.64971018,0.0001,-0.0001,0.0,0.0822,0.003,-0.003,0.0,1.599,0.28,-0.22,0.0,0.143,0.025,-0.02,0.0,3.18,20.65895,-19.443815,0.0,0.01,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,404.99,178.19,-176.31,0.0,1144.0,21.0,-21.0,0.0,0,5855.0,105.0,-117.0,0.0,1.61,0.26,-0.35,0.0,1.27,0.1,-0.15,0.0,0.4,0.05,-0.15,0.0,1.0,4.12,0.17,-0.11,0.0,290.5523552,48.1262575,538.807,6.107,-5.975,12.062,0.069,-0.069,10.562,0.025,-0.025,11.9354,0.000169,-0.000169
2937,Kepler-1744 b,1,1,2021,0,37.10110092,0.0001,-0.0001,0.0,0.2093,0.003,-0.003,0.0,3.768,0.28,-0.22,0.0,0.336,0.025,-0.02,0.0,13.6,20.65895,-19.443815,0.0,0.0429,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,18.95,15.73,-6.0,0.0,532.0,21.0,-21.0,0.0,0,5986.0,179.0,-215.0,0.0,0.85,0.23,-0.09,0.0,0.89,0.1,-0.1,0.0,-0.5,0.3,-0.3,0.0,1.0,4.53,0.06,-0.19,0.0,291.0206823,42.4624633,1091.63,29.97,-29.97,15.566,0.16,-0.16,13.532,0.034,-0.034,15.2558,0.000381,-0.000381
2938,Kepler-1745 b,1,1,2021,0,3.01619005,0.0001,-0.0001,0.0,0.0408,0.003,-0.003,0.0,1.929,0.28,-0.22,0.0,0.172,0.025,-0.02,0.0,4.38,20.65895,-19.443815,0.0,0.0138,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,1044.49,459.93,-414.44,0.0,1449.0,21.0,-21.0,0.0,0,5611.0,84.0,-75.0,0.0,1.4,0.23,-0.28,0.0,0.99,0.07,-0.07,0.0,0.16,0.15,-0.15,0.0,1.0,4.14,0.2,-0.11,0.0,293.4689924,42.8223582,996.105,25.8745,-25.8745,14.854,0.046,-0.046,13.323,0.037,-0.037,14.8649,0.000363,-0.000363
2939,Kepler-1746 b,1,1,2021,0,321.2120056,0.0001,-0.0001,0.0,0.9453,0.003,-0.003,0.0,8.935,0.28,-0.22,0.0,0.797,0.025,-0.02,0.0,59.1,20.65895,-19.443815,0.0,0.186,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,2.17,1.0,-0.76,0.0,310.0,21.0,-21.0,0.0,0,6018.0,120.0,-120.0,0.0,1.29,0.21,-0.21,0.0,1.09,0.1,-0.08,0.0,0.06,0.15,-0.15,0.0,1.0,4.26,0.14,-0.11,0.0,288.3203979,42.2613874,979.541,17.514,-17.514,13.572,0.08,-0.08,12.232,0.018,-0.018,13.4903,0.000543,-0.000543
2940,Kepler-1747 b,1,1,2021,0,6.23031998,0.0001,-0.0001,0.0,0.066,0.003,-0.003,0.0,4.265,0.28,-0.22,0.0,0.381,0.025,-0.02,0.0,16.8,20.65895,-19.443815,0.0,0.053,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,138.33,87.09,-37.97,0.0,875.0,21.0,-21.0,0.0,0,5477.0,172.0,-191.0,0.0,0.86,0.17,-0.07,0.0,0.98,0.07,-0.12,0.0,0.21,0.2,-0.3,0.0,1.0,4.56,0.03,-0.15,0.0,284.2096557,45.258082,1321.38,60.95,-55.89,16.1966,0.0459,-0.0459,14.036,0.071,-0.071,15.9687,0.000562,-0.000562
2941,Kepler-1748 b,1,1,2021,0,5.82352018,0.0001,-0.0001,0.0,0.0615,0.003,-0.003,0.0,2.713,0.28,-0.22,0.0,0.242,0.025,-0.02,0.0,7.81,20.65895,-19.443815,0.0,0.0246,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,196.33,170.06,-55.9,0.0,955.0,21.0,-21.0,0.0,0,5774.0,172.0,-189.0,0.0,0.86,0.25,-0.08,0.0,0.92,0.11,-0.1,0.0,-0.22,0.3,-0.3,0.0,1.0,4.53,0.05,-0.19,0.0,285.967897,45.7390789,1083.28,43.62,-40.43,16.004,0.309,-0.309,14.187,0.059,-0.059,15.8529,0.000496,-0.000496
2942,Kepler-1749 b,1,1,2021,0,14.53409958,0.0001,-0.0001,0.0,0.0956,0.003,-0.003,0.0,1.613,0.28,-0.22,0.0,0.144,0.025,-0.02,0.0,3.23,20.65895,-19.443815,0.0,0.0102,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,7.34,1.33,-1.54,0.0,420.0,21.0,-21.0,0.0,0,3957.0,71.0,-87.0,0.0,0.55,0.03,-0.04,0.0,0.55,0.04,-0.04,0.0,-0.16,0.15,-0.15,0.0,1.0,4.69,0.04,-0.02,0.0,290.2945805,45.5645196,268.2,1.4035,-1.4035,14.95,0.183,-0.183,11.809,0.013,-0.013,14.6958,0.000357,-0.000357
2943,Kepler-175 b,1,2,2014,0,11.903515,4.6e-05,-4.6e-05,0.0,0.105,0.003,-0.003,0.0,2.56,1.28,-1.28,0.0,0.228,0.114,-0.114,0.0,7.08,20.65895,-19.443815,0.0,0.0223,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,129.64,10.0,-9.15,0.0,827.0,21.0,-21.0,0.0,0,6064.0,200.0,-200.0,0.0,1.01,0.5,-0.5,0.0,1.12,0.1,-0.07,0.0,0.1,0.138,-0.144,0.0,1.0,4.47,0.3,-0.3,0.0,289.553232,43.876116,1312.34,45.29,-42.42,15.225,0.137,-0.137,13.496,0.035,-0.035,14.9115,0.00038,-0.00038
2944,Kepler-175 c,1,2,2014,0,34.035257,0.000279,-0.000279,0.0,0.213,0.003,-0.003,0.0,3.1,1.56,-1.56,0.0,0.277,0.139,-0.139,0.0,9.8,20.65895,-19.443815,0.0,0.0308,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,31.95,2.46,-2.26,0.0,583.0,21.0,-21.0,0.0,0,6064.0,200.0,-200.0,0.0,1.01,0.5,-0.5,0.0,1.12,0.1,-0.07,0.0,0.1,0.138,-0.144,0.0,1.0,4.47,0.3,-0.3,0.0,289.553232,43.876116,1312.34,45.29,-42.42,15.225,0.137,-0.137,13.496,0.035,-0.035,14.9115,0.00038,-0.00038
2945,Kepler-1750 b,1,1,2021,0,205.9120026,0.0001,-0.0001,0.0,0.6785,0.003,-0.003,0.0,6.004,0.28,-0.22,0.0,0.536,0.025,-0.02,0.0,30.1,20.65895,-19.443815,0.0,0.0947,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,1.85,0.72,-0.34,0.0,298.0,21.0,-21.0,0.0,0,5644.0,76.0,-84.0,0.0,0.97,0.14,-0.07,0.0,0.98,0.06,-0.06,0.0,0.14,0.15,-0.15,0.0,1.0,4.46,0.05,-0.11,0.0,292.3514917,48.5110714,1497.33,67.93,-62.37,15.702,0.698,-0.698,13.903,0.052,-0.052,15.5339,0.000417,-0.000417
2946,Kepler-1751 b,1,1,2021,0,7.01731014,0.0001,-0.0001,0.0,0.0712,0.003,-0.003,0.0,1.824,0.28,-0.22,0.0,0.163,0.025,-0.02,0.0,3.98,20.65895,-19.443815,0.0,0.0125,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,221.46,204.04,-73.17,0.0,984.0,21.0,-21.0,0.0,0,6052.0,163.0,-199.0,0.0,0.97,0.3,-0.12,0.0,0.97,0.13,-0.12,0.0,-0.26,0.3,-0.3,0.0,1.0,4.46,0.07,-0.21,0.0,284.8465476,49.6923412,1291.47,39.19,-36.99,15.455,0.047,-0.047,13.784,0.058,-0.058,15.232,0.000354,-0.000354
2947,Kepler-1752 b,1,1,2021,0,56.35850143,0.0001,-0.0001,0.0,0.2698,0.003,-0.003,0.0,4.541,0.28,-0.22,0.0,0.405,0.025,-0.02,0.0,18.7,20.65895,-19.443815,0.0,0.059,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,7.29,4.34,-2.1,0.0,419.0,21.0,-21.0,0.0,0,5446.0,162.0,-162.0,0.0,0.82,0.16,-0.09,0.0,0.82,0.1,-0.08,0.0,-0.2,0.3,-0.3,0.0,1.0,4.53,0.07,-0.13,0.0,290.8541401,51.2227435,962.888,29.899,-28.181,16.0249,0.0459,-0.0459,13.999,0.051,-0.051,15.796,0.000476,-0.000476
2948,Kepler-1753 b,1,1,2021,0,16.00460052,0.0001,-0.0001,0.0,0.1179,0.003,-0.003,0.0,2.227,0.28,-0.22,0.0,0.199,0.025,-0.02,0.0,5.59,20.65895,-19.443815,0.0,0.0176,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,27.41,12.98,-6.54,0.0,583.0,21.0,-21.0,0.0,0,5180.0,155.0,-155.0,0.0,0.77,0.11,-0.06,0.0,0.86,0.06,-0.09,0.0,0.0,0.25,-0.3,0.0,1.0,4.6,0.03,-0.1,0.0,288.236664,46.6058744,707.688,15.215,-14.599,15.59,0.103,-0.103,13.521,0.033,-0.033,15.5134,0.000517,-0.000517
2949,Kepler-1754 b,1,1,2021,0,8.19594955,0.0001,-0.0001,0.0,0.0718,0.003,-0.003,0.0,2.44,0.28,-0.22,0.0,0.218,0.025,-0.02,0.0,6.53,20.65895,-19.443815,0.0,0.0205,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,48.2,14.22,-13.82,0.0,672.0,21.0,-21.0,0.0,0,4723.0,167.0,-167.0,0.0,0.75,0.05,-0.07,0.0,0.73,0.07,-0.06,0.0,0.08,0.25,-0.3,0.0,1.0,4.56,0.06,-0.03,0.0,295.4570818,50.0771838,718.945,21.743,-20.523,16.007,0.046,-0.046,13.438,0.043,-0.043,15.8578,0.000614,-0.000614
2950,Kepler-1755 b,1,1,2021,0,24.81209946,0.0001,-0.0001,0.0,0.1668,0.003,-0.003,0.0,5.917,0.28,-0.22,0.0,0.528,0.025,-0.02,0.0,29.4,20.65895,-19.443815,0.0,0.0924,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,37.43,35.14,-11.15,0.0,631.0,21.0,-21.0,0.0,0,6086.0,182.0,-200.0,0.0,0.92,0.29,-0.1,0.0,1.0,0.13,-0.13,0.0,-0.26,0.3,-0.3,0.0,1.0,4.51,0.05,-0.22,0.0,296.846092,40.1385777,982.383,22.937,-21.932,14.544,0.126,-0.126,12.911,0.031,-0.031,14.3856,0.000286,-0.000286
2951,Kepler-1756 b,1,1,2021,0,2.35575008,0.0001,-0.0001,0.0,0.0319,0.003,-0.003,0.0,1.472,0.28,-0.22,0.0,0.131,0.025,-0.02,0.0,2.77,20.65895,-19.443815,0.0,0.00871,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,338.4,46.37,-66.96,0.0,1093.0,21.0,-21.0,0.0,0,4915.0,78.0,-88.0,0.0,0.81,0.03,-0.06,0.0,0.78,0.05,-0.03,0.0,0.16,0.15,-0.15,0.0,1.0,4.51,0.07,-0.02,0.0,294.364904,40.7208898,417.014,4.888,-4.824,15.736,0.183,-0.183,13.452,0.044,-0.044,15.6634,0.000914,-0.000914
2952,Kepler-1757 b,1,1,2021,0,19.65640068,0.0001,-0.0001,0.0,0.1335,0.003,-0.003,0.0,2.947,0.28,-0.22,0.0,0.263,0.025,-0.02,0.0,8.99,20.65895,-19.443815,0.0,0.0283,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,21.5,10.59,-5.23,0.0,549.0,21.0,-21.0,0.0,0,5288.0,159.0,-143.0,0.0,0.74,0.11,-0.06,0.0,0.83,0.07,-0.1,0.0,-0.24,0.3,-0.3,0.0,1.0,4.61,0.04,-0.09,0.0,297.7397823,46.9418957,807.308,16.517,-15.878,15.817,0.252,-0.252,13.543,0.04,-0.04,15.3679,0.000388,-0.000388
2953,Kepler-1758 b,1,1,2021,0,9.97721005,0.0001,-0.0001,0.0,0.0919,0.003,-0.003,0.0,2.571,0.28,-0.22,0.0,0.229,0.025,-0.02,0.0,7.13,20.65895,-19.443815,0.0,0.0224,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,93.64,125.08,-22.12,0.0,1028.0,21.0,-21.0,0.0,0,5557.0,83.0,-72.0,0.0,1.62,0.25,-0.41,0.0,1.04,0.09,-0.09,0.0,0.16,0.15,-0.1,0.0,1.0,4.04,0.21,-0.09,0.0,297.7968197,39.9213378,1588.41,75.49,-69.04,15.119,0.114,-0.114,13.302,0.033,-0.033,14.9449,0.00031,-0.00031
2954,Kepler-1759 b,1,1,2021,0,3.7202301,0.0001,-0.0001,0.0,0.0429,0.003,-0.003,0.0,0.904,0.28,-0.22,0.0,0.081,0.025,-0.02,0.0,0.676,20.65895,-19.443815,0.0,0.00213,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,195.7,69.88,-57.88,0.0,954.0,21.0,-21.0,0.0,0,5017.0,151.0,-151.0,0.0,0.8,0.08,-0.09,0.0,0.76,0.1,-0.06,0.0,-0.02,0.3,-0.3,0.0,1.0,4.52,0.09,-0.09,0.0,298.4656275,48.5593334,385.348,3.148,-3.099,14.532,0.092,-0.092,12.159,0.025,-0.025,14.2601,0.000254,-0.000254
