Planet Name
Kepler-304 c
KELT-9 b
Kepler-1254 d
Kepler-762 b
Kepler-612 b
Kepler-1635 b
NGTS-23 b
Kepler-828 b
TOI-2193 A b
TOI-2364 b
Kepler-33 b
Kepler-396 b
HD 11964 b
HD 86226 b
HD 99706 c
MASCARA-4 b
K2-127 b
Kepler-33 c
Kepler-757 b
HD 160691 e
Kepler-391 c
Kepler-348 b
Kepler-50 b
K2-213 b
TOI-1411 b
Kepler-142 c
Kepler-330 c
HD 215152 d
K2-370 b
Kepler-400 b
Kepler-245 c
Kepler-717 b
K2-24 c
Kepler-948 b
HD 169142 b
Kepler-79 d
Kepler-1779 b
Kepler-1005 b
Kepler-154 e
HD 72490 b
Kepler-842 b
TOI-1075 b
Kepler-1337 b
HD 9446 c
Kepler-1057 b
GJ 15 A c
K2-259 b
HD 128356 b
Kepler-1135 b
K2-195 b
HD 185269 b
Kepler-1338 b
XO-3 b
KMT-2018-BLG-1996L b
EPIC 201170410.02
GJ 1002 b
TOI-1052 c
TOI-2421 b
Kepler-1822 b
MOA-2013-BLG-605L b
Kepler-1686 b
Kepler-1918 b
Kepler-11 e
HD 15337 b
KOI-1783.01
Kepler-506 b
Kepler-1210 b
Kepler-1325 b
Kepler-363 d
HAT-P-33 b
TOI-1680 b
HD 1690 b
Kepler-75 b
HD 3167 b
Kepler-138 d
Kepler-309 b
Kepler-100 c
Kepler-1904 b
Kepler-444 b
K2-101 b
Kepler-315 b
TOI-2337 b
HD 153557 b
KELT-20 b
b Cen AB b
Kepler-760 b
Kepler-531 b
Kepler-576 b
Kepler-341 c
Kepler-152 c
Kepler-1992 b
HD 63765 b
Kepler-81 d
HIP 97166 b
Kepler-780 b
K2-350 c
Kepler-327 b
Kepler-248 b
BD-08 2823 c
Kepler-609 b
Kepler-1464 b
Kepler-1247 b
Kepler-344 b
TOI-5293 A b
HD 2039 b
HIP 19976 c
Kepler-316 b
Kepler-944 b
Kepler-132 b
Kepler-169 f
WASP-42 b
SWEEPS-11 b
LSPM J2116+0234 b
Kepler-532 b
HD 81040 b
HATS-23 b
Kepler-280 c
MOA-2016-BLG-319L b
Kepler-220 b
K2-178 b
K2-381 c
Kepler-121 c
HD 3167 e
Kepler-1293 b
K2-100 b
Kepler-738 b
CoRoT-1 b
Kepler-257 d
Kepler-362 b
Kepler-720 b
Kepler-749 b
Kepler-1612 b
HATS-47 b
OGLE-2005-BLG-169L b
KOI-351 c
TOI-1696 b
Kepler-535 b
Kepler-364 c
K2-293 b
Kepler-539 b
HD 207897 b
HD 108236 c
EPIC 205950854 c
K2-162 b
Kepler-698 b
WASP-66 b
Kepler-1245 b
Kepler-1479 b
HD 80606 b
Kepler-1239 b
Kepler-1843 b
KELT-18 b
Kepler-1863 b
HD 117207 b
Kepler-363 c
Kepler-1065 b
HD 27894 b
WASP-167 b
Kepler-1537 b
HD 113538 b
Kepler-20 g
KMT-2017-BLG-0673L b
Kepler-80 d
OGLE-TR-10 b
Kepler-783 c
K2-337 b
Kepler-1222 b
HD 14787 b
WASP-17 b
HD 30177 b
eps Tau b
Kepler-1916 b
K2-396 c
Kepler-1230 b
Kepler-306 b
TOI-1064 c
Kepler-1940 b
EPIC 212424622 b
Kepler-1266 b
WASP-175 b
Kepler-411 c
HD 64121 b
Kepler-1941 b
Kepler-1284 b
Kepler-99 b
GJ 849 b
HD 240237 b
Kepler-599 b
Kepler-1697 b
TRAPPIST-1 h
TOI-1749 b
Kepler-552 b
Kepler-1681 b
Kepler-483 b
HD 26161 b
Kepler-1311 b
Kepler-775 b
TOI-431 d
K2-408 b
TOI-674 b
Kepler-30 b
Kepler-616 c
TOI-622 b
Kepler-347 d
HD 33142 c
TOI-1859 b
Kepler-1518 c
Kepler-1553 b
WASP-104 b
HD 32963 b
Kepler-730 c
TOI-181 b
Kepler-551 b
Kepler-394 c
Kepler-294 c
Kepler-62 e
Kepler-878 b
Kepler-770 c
K2-215 b
K2-175 b
GJ 581 b
Kepler-1709 b
HD 240210 b
Kepler-344 c
Kepler-160 d
Kepler-1341 b
Kepler-1177 b
Kepler-1984 b
GJ 3942 b
K2-330 b
K2-80 b
WASP-3 b
Kepler-239 c
HD 23472 e
Kepler-310 c
GJ 649 b
HD 155193 b
Kepler-209 b
KOI-3680 b
Kepler-312 b
HD 83443 c
WASP-150 b
POTS-1 b
Kepler-1487 b
Kepler-990 b
KELT-11 b
Kepler-1351 b
Kepler-1274 b
Kepler-1719 b
Kepler-310 d
KOI-7913 b
HD 140901 b
Kepler-797 b
Kepler-1245 c
Kepler-1442 b
75 Cet b
KOI-1831 d
K2-374 c
Qatar-4 b
GJ 463 b
Kepler-87 c
HD 208897 b
WASP-10 b
L 168-9 b
Kepler-1869 b
HIP 41378 b
HD 75784 b
Kepler-1773 b
Kepler-1028 b
HD 121504 b
HD 221420 b
Kepler-150 e
HD 104985 b
Kepler-1202 b
K2-122 b
TOI-3714 b
Kepler-1460 b
1RXS J160929.1-210524 b
Kepler-1280 b
Kepler-994 b
Kepler-500 b
Kepler-406 c
K2-21 b
HD 96700 d
Kepler-1362 b
Kepler-1526 b
KIC 8540376 b
HD 187085 b
Kepler-1250 b
HD 38801 b
Kepler-242 c
Kepler-1757 b
Kepler-1046 b
HIP 9618 c
KELT-14 b
Kepler-366 c
HATS-67 b
HD 21749 c
TYC 4282-00605-1 b
HD 189733 b
Kepler-1529 b
K2-72 e
Kepler-1138 b
Kepler-1894 b
Kepler-136 c
WASP-47 c
TOI-3976 A b
HD 217958 b
Kepler-1688 b
HD 65216 b
Kepler-430 b
Kepler-735 b
HD 11343 c
TOI-2545 b
Kepler-1370 c
PSR J2322-2650 b
Kepler-511 c
TOI-2096 c
Kepler-870 b
Kepler-1261 b
K2-58 c
HD 1397 b
HD 12648 b
WASP-135 b
Kepler-331 c
HAT-P-34 b
Kepler-32 d
Kepler-383 b
HATS-57 b
KOI-351 b
CoRoT-23 b
Kepler-1699 b
Kepler-1099 b
K2-272 b
Kepler-1580 b
Kepler-781 b
Kepler-1664 b
K2-260 b
HD 2952 b
OGLE-2018-BLG-1647L b
HD 112640 b
G 264-012 c
Kepler-1392 b
Kepler-603 d
Kepler-1841 b
WASP-1 b
HD 12661 b
Kepler-1623 b
HD 134987 c
Kepler-92 b
TOI-1807 b
Kepler-1321 d
TOI-544 b
Kepler-421 b
Kepler-1879 b
Kepler-120 c
Kepler-55 b
Kepler-141 b
Kepler-534 c
HAT-P-8 b
HD 211403 b
KMT-2021-BLG-1303L b
HAT-P-6 b
Kepler-169 c
Kepler-35 b
TOI-837 b
HD 69830 c
Kepler-1869 c
Kepler-1315 b
Kepler-81 c
K2-136 b
Kepler-1185 b
TOI-2202 c
Kepler-525 b
Kepler-647 b
Kepler-514 b
Kepler-289 d
WASP-185 b
HD 89839 b
Kepler-1889 b
Kepler-1986 b
K2-19 d
Kepler-1550 b
OGLE-2013-BLG-0911L b
WASP-114 b
Kepler-919 b
K2-22 b
HD 216536 b
Kepler-1267 b
Kepler-1521 b
Kepler-1644 b
OGLE-2005-BLG-390L b
HIP 63242 b
Kepler-731 b
HD 20794 b
Kepler-972 b
HD 131496 b
GJ 2056 b
K2-37 b
Kepler-1060 b
HD 221585 b
HD 145675 c
WASP-186 b
Kepler-1033 b
EPIC 212737443 c
Kepler-399 c
Kepler-260 c
TOI-1260 d
Kepler-1787 b
HD 141399 d
HD 216770 b
K2-196 b
WASP-15 b
HD 115954 b
Kepler-520 c
TOI-178 c
TOI-836 c
Kepler-605 b
Kepler-1953 b
Kepler-1784 b
Kepler-856 b
KMT-2019-BLG-1953L b
Kepler-1533 b
HD 147873 b
Kepler-313 b
HD 147379 b
Kepler-864 b
Kepler-595 c
Kepler-1275 b
Kepler-312 c
Kepler-1116 b
Kepler-1786 b
Kepler-351 c
K2-159 b
Kepler-439 b
HD 23472 c
HD 115404 A c
K2-209 b
Kepler-15 b
KOI-217 b
Kepler-1607 b
Kepler-107 d
Kepler-127 c
KMT-2021-BLG-1898L b
K2-37 c
HD 31253 b
WASP-141 b
Kepler-1117 b
OGLE-2012-BLG-0950L b
MOA-2008-BLG-379L b
TOI-1260 c
eps CrB b
HD 20782 b
HD 137388 b
Kepler-1181 b
Kepler-779 b
Kepler-873 b
TYC 1422-614-1 b
K2-32 c
LP 791-18 d
Kepler-1834 b
Kepler-313 c
HD 564 b
K2-95 b
WASP-140 b
HN Peg b
Kepler-341 b
Kepler-47 c
Teegarden's Star b
KMT-2018-BLG-0030L b
Kepler-990 c
HD 40307 d
Kepler-418 b
K2-128 b
TOI-2257 b
HD 102843 b
Kepler-1647 b
TOI-500 c
K2-376 b
TOI-3884 b
MOA-2009-BLG-319L b
Kepler-1439 b
Kepler-1901 b
Kepler-1848 b
Kepler-188 b
K2-16 b
HD 175167 b
Kepler-661 b
Kepler-1749 b
HD 215152 e
HD 80869 b
HD 34445 g
K2-136 c
HD 11505 b
HD 68402 b
HD 77338 b
WASP-19 b
OGLE-2016-BLG-0613L AB b
Kepler-124 b
Kepler-889 b
BD+49 828 b
Kepler-27 d
Kepler-1007 b
Kepler-1873 b
WD 0806-661 b
Kepler-171 c
Kepler-165 b
LTT 3780 b
HD 62364 b
Kepler-610 b
Kepler-586 b
Kepler-375 c
LP 791-18 b
Kepler-1512 b
Kepler-1794 b
HD 260655 b
HD 62509 b
GJ 1151 c
Kepler-308 b
Kepler-1107 b
Kepler-1231 b
Kepler-190 b
WASP-55 b
Kepler-1067 c
TOI-1272 c
K2-240 c
Kepler-656 c
GJ 3323 b
Kepler-494 b
Kepler-148 d
Kepler-100 d
Kepler-342 d
TOI-125 b
K2-182 b
Kepler-1178 b
HD 160691 b
HD 74698 b
Kepler-234 c
Kepler-286 b
K2-99 b
Kepler-1515 b
Kepler-394 b
HD 44219 b
TOI-2207 b
Kepler-1238 b
WTS-2 b
Gl 686 b
Kepler-1527 b
Kepler-1255 b
Kepler-301 d
Kepler-1454 b
K2-188 b
HD 43691 b
Kepler-1162 b
MOA-2013-BLG-220L b
K2-77 b
Kepler-37 d
Kepler-24 d
Kepler-1989 b
Kepler-1431 b
Kepler-419 b
TOI-2587 A b
Kepler-585 b
K2-251 b
Kapteyn c
HATS-69 b
Kepler-1750 b
TOI-4010 d
eps Ind A b
tau Gem b
HAT-P-51 b
Kepler-1180 b
HD 7924 b
Kepler-787 b
Kepler-116 b
KMT-2017-BLG-1003L b
HD 4760 b
Kepler-1387 b
47 UMa b
Kepler-1096 b
K2-378 b
TOI-2570 b
Kepler-42 d
Kepler-1598 b
WASP-24 b
Kepler-844 b
Kepler-1390 b
Kepler-129 b
HD 100655 b
HD 55696 b
CoRoT-14 b
K2-195 c
Kepler-1966 b
GJ 685 b
Kepler-1401 b
HD 10180 c
GJ 3082 b
Kepler-1484 b
Kepler-1801 b
Kepler-172 e
Kepler-148 b
K2-156 b
GJ 3512 c
MOA-2016-BLG-227L b
HD 136352 d
OGLE-TR-132 b
Kepler-1232 b
Kepler-841 b
Kepler-1257 b
